name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Eminence Indiana,2013-07-21,83.1,65.6,74.6,86.2,65.6,75.2,67.3,79.28,0,,4.17,,,,,5.5,200.6,1013.1,46.1,9.4,,,,,2013-07-21T06:36:43,2013-07-21T21:08:49,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2013-07-22,81.5,69.4,74.5,85,69.4,75,68.8,83.16,0.52,,41.67,,,,25.9,9.4,228.8,1009.7,74.2,8.9,,,,,2013-07-22T06:37:33,2013-07-22T21:08:03,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2013-07-23,86.1,69,76.5,91.6,69,78.2,68.3,77.21,0.3,,12.5,,,,35.7,12.9,251.5,1008.8,40.1,9.5,,,,,2013-07-23T06:38:23,2013-07-23T21:07:15,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2013-07-24,75,56.8,66.8,75,56.8,66.8,54.2,65.45,0,,0,,,,18.5,12,46.1,1013.9,24.8,9.9,,,,,2013-07-24T06:39:14,2013-07-24T21:06:25,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2013-07-25,77.6,55.6,67.9,77.6,55.6,67.9,53.5,62.16,0,,0,,,,18.3,8.9,110.2,1017.7,10,9.9,,,,,2013-07-25T06:40:05,2013-07-25T21:05:34,0.55,Clear,Clear conditions throughout the day.,clear-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
