name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Eminence Indiana,2020-07-21,87.5,70.2,78.2,93.1,70.2,80,68.9,73.95,0.24,,4.17,,0,0,34.1,9.7,141.2,1015.9,60.5,9.1,316.2,17.1,8,,2020-07-21T06:37:00,2020-07-21T21:08:37,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KBMG,KEYE,72437503893,E3781,KIND,72438093819,72438453842,0894W"
Eminence Indiana,2020-07-22,84.8,69.4,75.4,90.5,69.4,76.7,70,83.87,0.89,,58.33,,0,0,26.9,10.4,200.1,1015.6,59.8,9.5,225,13,7,,2020-07-22T06:37:50,2020-07-22T21:07:51,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBMG,KEYE,72437503893,E3781,KIND,72438093819,72438453842,0894W"
Eminence Indiana,2020-07-23,85,73.1,78.2,87.3,73.1,79,68.5,74.15,0.01,,8.33,,0,0,20.8,10.3,279.5,1017.6,51.5,9.2,493.7,26.7,9,,2020-07-23T06:38:40,2020-07-23T21:07:03,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842,0894W"
Eminence Indiana,2020-07-24,84.3,65.9,76,85.6,65.9,76.6,64.5,69.42,0,,0,,0,0,,8.3,274.4,1019.6,21.5,9.7,559.3,30.2,10,,2020-07-24T06:39:31,2020-07-24T21:06:13,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842,0894W"
Eminence Indiana,2020-07-25,87.8,64.7,76.7,89.3,64.7,77.5,65.1,69.78,0,,0,,0,0,,7,229.8,1019.3,15.2,9.8,556.4,30,10,,2020-07-25T06:40:23,2020-07-25T21:05:21,0.14,Clear,Clear conditions throughout the day.,clear-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842,0894W"
