name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Eminence Indiana,2012-07-21,88.7,59.5,75.4,86.4,59.5,74.9,57.6,58.97,0,,0,,,,,8,89.9,1017.7,21.7,9.4,,,,,2012-07-21T06:36:54,2012-07-21T21:08:37,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2012-07-22,93.5,66.3,80.3,93.4,66.3,80.3,61.2,56.11,0,,0,,,,16.1,9.9,142,1018.5,27.7,9.9,,,,,2012-07-22T06:37:44,2012-07-22T21:07:51,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2012-07-23,99.2,73.3,85.6,103.1,73.3,87.7,65,52.37,0,,0,,,,26.1,15.6,240.1,1016.4,30.8,9.9,,,,,2012-07-23T06:38:35,2012-07-23T21:07:03,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2012-07-24,95.2,80.6,86.3,97.1,84.2,89.6,68,55.78,0,,0,,,,30,13.8,189.8,1013.1,40.6,9.9,,,,,2012-07-24T06:39:26,2012-07-24T21:06:13,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2012-07-25,100.9,73.5,86.2,106.4,73.5,88.8,68.8,60.12,0,,0,,,,24.1,14.6,167,1010.3,25.3,9.9,,,,,2012-07-25T06:40:17,2012-07-25T21:05:21,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
