name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Eminence Indiana,2011-07-21,97.8,76.8,87.5,107.7,76.8,94.6,74.5,67.92,0,,0,,,,19.5,9.6,259.7,1010.9,11.4,9,,,,,2011-07-21T06:36:17,2011-07-21T21:09:12,0.67,Clear,Clear conditions throughout the day.,clear-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2011-07-22,94.9,78.7,86.8,104.3,78.7,94.5,74.7,68.96,0,,0,,,,18.3,10.3,229.6,1012.9,15.9,9.2,,,,,2011-07-22T06:37:07,2011-07-22T21:08:27,0.72,Clear,Clear conditions throughout the day.,clear-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2011-07-23,93.9,77.6,85.9,101.7,77.6,92.6,74.1,69.4,0,,0,,,,21.9,11.4,220.8,1014.6,31.7,8.5,,,,,2011-07-23T06:37:57,2011-07-23T21:07:40,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2011-07-24,91.4,75.9,80.4,102.6,75.9,82.6,72.9,78.54,0.12,,29.17,,,,34.1,11.1,223.1,1015.2,49.7,8.8,,,,,2011-07-24T06:38:48,2011-07-24T21:06:52,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2011-07-25,88.4,71.1,79,92.8,71.1,80.8,69.9,75.59,0,,0,,,,19.5,10.2,331.2,1013,56.9,8.8,,,,,2011-07-25T06:39:39,2011-07-25T21:06:01,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
