name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Eminence Indiana,2021-07-21,82.4,65.9,74.2,84.6,65.9,74.8,65,73.88,0,,0,,0,0,,9.4,230.2,1018.2,23.1,6.4,439.9,23.8,9,,2021-07-21T06:36:48,2021-07-21T21:08:49,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842,0894W"
Eminence Indiana,2021-07-22,82,68.2,74.6,84.1,68.2,75.1,64.2,70.76,0,,0,,0,0,,7.1,145.8,1021.5,51.3,9.1,344.6,18.6,9,,2021-07-22T06:37:38,2021-07-22T21:08:03,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842,0894W"
Eminence Indiana,2021-07-23,85.5,67,76.6,89.6,67,78,67.6,74.9,0,,0,,0,0,17.2,9.2,161.4,1020.2,32.8,7.7,444.2,24,9,,2021-07-23T06:38:29,2021-07-23T21:07:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842,0894W"
Eminence Indiana,2021-07-24,86.8,69.2,78,94.1,69.2,80.5,69.9,76.88,0,,8.33,,0,0,29.8,14.1,212.2,1015.6,33,8,460.3,24.9,10,,2021-07-24T06:39:20,2021-07-24T21:06:26,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842,0894W"
Eminence Indiana,2021-07-25,87.2,71.9,79.1,95.6,71.9,81.9,71.2,77.2,0.02,,16.67,,0,0,28.2,10.3,291.4,1013.2,60.8,9.7,320.1,17.3,10,,2021-07-25T06:40:11,2021-07-25T21:05:35,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842,0894W"
