name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Eminence Indiana,2014-07-21,84.3,60.5,73.5,84.6,60.5,73.7,61.4,68.41,0,,0,,,,,5,154.3,1018.4,32.5,8.7,,,,,2014-07-21T06:36:31,2014-07-21T21:09:00,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2014-07-22,87,66.1,76.9,89.5,66.1,77.9,65,68.42,0,,0,,,,19.8,11.9,142.9,1017.8,14.2,8,,,,,2014-07-22T06:37:21,2014-07-22T21:08:14,0.92,Clear,Clear conditions throughout the day.,clear-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2014-07-23,75.3,65,72.4,75.3,65,72.4,66.6,82.11,1.26,,33.33,,,,33.3,12.8,258.5,1016.1,71.6,8.3,,,,,2014-07-23T06:38:11,2014-07-23T21:07:27,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2014-07-24,75.3,57.8,67,75.3,57.8,67,54.4,66.29,0,,0,,,,18.3,11.4,61.1,1017.8,43,9.9,,,,,2014-07-24T06:39:02,2014-07-24T21:06:38,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
Eminence Indiana,2014-07-25,73.7,55.1,65.9,73.7,55.1,65.9,55.2,69.85,0,,0,,,,19.5,9.6,151.9,1017.1,33.6,9.6,,,,,2014-07-25T06:39:54,2014-07-25T21:05:47,1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KBMG,KEYE,72437503893,KIND,72438093819,72438453842"
